,appId,content,sentiment,content_cleaned
136441,com.spotify.music,Toimii kuin tietokoneella ja äänenlaatu on hyvä.,positive,toimii kuin tietokoneella ja äänenlaatu on hyvä 
35944,fi.nordea.mobilebank,Nojatuolissa istuen makselu on kätevää.,positive,nojatuolissa istuen makselu on kätevää 
119115,com.spotify.music,kovaa kamaa,positive,kovaa kamaa
110926,com.elisa.viihde,"HBO toimii, vaikka HBOn oma softa ei Androidilla.",positive,hbo toimii vaikka hbon oma softa ei androidilla 
115136,com.spotify.music,Ihan sika hyvä👍,positive,ihan sika hyvä 
130761,com.spotify.music,Aina mukana!,positive,aina mukana 
8676,com.yle.webtv,mä tykkään,positive,mä tykkään
27357,com.nordea.mep.npay,Mainio!,positive,mainio 
132200,com.spotify.music,SaIrAaAaAaAaN hYvÄ,positive,sairaaaaaaaan hyvä
13996,com.yle.webtv,Paras  On aikahärdelli,positive,paras on aikahärdelli
31770,fi.nordea.mobilebank,"Toimiva, sujuva.",positive,toimiva sujuva 
30212,fi.nordea.mobilebank,Hyvä ja nopea. Toimii.,positive,hyvä ja nopea toimii 
33664,fi.nordea.mobilebank,Olen tyytyväinen sovellutukseen.,positive,olen tyytyväinen sovellutukseen 
97933,fi.mtvkatsomo,Harmi en oo ollu vie katsomos koska se lataa ny,positive,harmi en oo ollu vie katsomos koska se lataa ny
132069,com.spotify.music,Voi kuunnella musaa ilman nettii,positive,voi kuunnella musaa ilman nettii
86681,com.codigames.idle.theme.park.tycoon,Kova peli koska jää koukkuun👌👍,positive,kova peli koska jää koukkuun 
142648,com.spotify.music,Hyvä    ❤❤☺☺,positive,hyvä 
114672,com.spotify.music,Sairaan hyvää musaa!!!!,positive,sairaan hyvää musaa 
39603,fi.nordea.mobilebank,toiminut hyvin,positive,toiminut hyvin
115428,com.spotify.music,Very gud,positive,very gud
63913,com.fluffyfairygames.idleminertycoon,Todella hyvä!,positive,todella hyvä 
15581,com.fsecure.ms.safe,Paras!,positive,paras 
115407,com.spotify.music,So much music that I like,positive,so much music that like
2045,com.danskebank.mobilebank3.fi,Helppo ja varma toiminen,positive,helppo ja varma toiminen
24084,com.nordea.mobiletoken,Toimii joka paikassa eli pankki on aina mukana ! :),positive,toimii joka paikassa eli pankki on aina mukana 
109564,com.gpp.carwash,Good games,positive,good games
119693,com.spotify.music,Womderfull,positive,womderfull
98049,fi.mtvkatsomo,Viiden tähden hotelli,positive,viiden tähden hotelli
46820,com.thirdpresence.ruutu,Erinomainen,positive,erinomainen
57806,com.saunalahti.oma,Loistava... palvelun käyttö ei maksa yhtään mitään paitsi itselläni on kyllä kiinteä mobiililaajakaista :P ei tarvitse edes kirjautua kun se tunnistautuu suoraan puhelinnumerolla,positive,loistava palvelun käyttö ei maksa yhtään mitään paitsi itselläni on kyllä kiinteä mobiililaajakaista ei tarvitse edes kirjautua kun se tunnistautuu suoraan puhelinnumerolla
28272,fi.nordea.mobilebank,selkeä ja helppo käyttää. Ja verkkopalkka oli vielä hyvä lisäys tähän.,positive,selkeä ja helppo käyttää ja verkkopalkka oli vielä hyvä lisäys tähän 
133450,com.spotify.music,SPOTIFY IS THE BEST,positive,spotify is the best
60006,fi.fmi.mobileweather,tosi hyvä,positive,tosi hyvä
67100,com.fluffyfairygames.idleminertycoon,BEST GAME WHAT IVE SEEN AND PLAYED,positive,best game what ive seen and played
64625,com.fluffyfairygames.idleminertycoon,Best game,positive,best game
89184,fi.digia.suomi112,Todella tarpeellinen!,positive,todella tarpeellinen 
59971,fi.fmi.mobileweather,"Otsikko kertoo kaiken, mutta sellanen widget ois kiva lisä..",positive,otsikko kertoo kaiken mutta sellanen widget ois kiva lisä 
86186,com.codigames.idle.theme.park.tycoon,Todella mukava eikä käy tylsäksi,positive,todella mukava eikä käy tylsäksi
126191,com.spotify.music,Hyvä sovellus ja paljon musiikki,positive,hyvä sovellus ja paljon musiikki
82840,fi.yle.ylefiapp,io,positive,io
142844,com.swampsend.maastokartat,"Sovellus on varsin käyttökelpoinen. Taitamattomuus vain on tuottanut pulmia. En saanut mm. kiinteistörajoja näkyviin maastokarttapohjalle. Kartamerkit täytyy näköjään myös opiskella osittain uudelleen. Ei se tosin maastossa paljoa haittaa, kun ei tarvitse vanhan ukon enää suunnistaa kilpaa. Hirvipassille osaaminen riittää ja hyvin ehtii. Terveisiä Perä Uurasten Metsästysseuralle.",positive,sovellus on varsin käyttökelpoinen taitamattomuus vain on tuottanut pulmia en saanut mm kiinteistörajoja näkyviin maastokarttapohjalle kartamerkit täytyy näköjään myös opiskella osittain uudelleen ei se tosin maastossa paljoa haittaa kun ei tarvitse vanhan ukon enää suunnistaa kilpaa hirvipassille osaaminen riittää ja hyvin ehtii terveisiä perä uurasten metsästysseuralle 
142958,com.swampsend.maastokartat,"Erittäin hyvä suunnistaa karikoille keskellä järveä. Toimii hienosti, ja kaikulaitteen kanssa pelaa 100%. 5 tähteä.",positive,erittäin hyvä suunnistaa karikoille keskellä järveä toimii hienosti ja kaikulaitteen kanssa pelaa 100 5 tähteä 
42815,fi.nordea.mobilebank,Helppo käyttää ja on selkeä.,positive,helppo käyttää ja on selkeä 
125636,com.spotify.music,Hankkikaa se premium ei viddu :D,positive,hankkikaa se premium ei viddu d
11292,com.yle.webtv,awesome!! hbo programs😍😍,positive,awesome hbo programs 
11260,com.yle.webtv,Voi kattoo cs,positive,voi kattoo cs
4007,com.droidhang.ad,Hyvää ajanvietettä tylsempiin hetkiin 😁,positive,hyvää ajanvietettä tylsempiin hetkiin 
43031,fi.nordea.mobilebank,Ei onkelmia toimii,positive,ei onkelmia toimii
56757,fi.itella.posti.android,"Now , when our Blocks of flats own SMARTPOST is in use , this app is great full !",positive,now when our blocks of flats own smartpost is in use this app is great full 
136354,com.spotify.music,oon maksanu tästä sovelluksesta jo 10 vuot 20€ kuus ja on kyllä niin hyvä että viisi tähtee tähä,positive,oon maksanu tästä sovelluksesta jo 10 vuot 20 kuus ja on kyllä niin hyvä että viisi tähtee tähä
28209,fi.nordea.mobilebank,"Helppo käyttää ja hoitaa kaikki pankkiasiat,olipa sitten missä päin maailmaa tahansa.",positive,helppo käyttää ja hoitaa kaikki pankkiasiat olipa sitten missä päin maailmaa tahansa 
